,name,map,bpref,recip_rank,P.5,P.10,P.1000,ndcg,ndcg_cut_5,ndcg_cut_10,map +,map -,map p-value,bpref +,bpref -,bpref p-value,recip_rank +,recip_rank -,recip_rank p-value,P.5 +,P.5 -,P.5 p-value,P.10 +,P.10 -,P.10 p-value,P.1000 +,P.1000 -,P.1000 p-value,ndcg +,ndcg -,ndcg p-value,ndcg_cut_5 +,ndcg_cut_5 -,ndcg_cut_5 p-value,ndcg_cut_10 +,ndcg_cut_10 -,ndcg_cut_10 p-value
0,TerrierRetr(TF_IDF),0.09158710267613639,0.3789895008285786,0.24523276963331564,0.09497969730527661,0.06546696197859035,0.0024747139165743745,0.21038624199615208,0.11602187466329282,0.12835431503791242,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TerrierRetr(BM25),0.09305160262079813,0.38536386861914734,0.24886290151281268,0.09590254706533571,0.06642672572905182,0.0025193798449612325,0.2135520662596727,0.11737007239639419,0.12982012797785802,2504.0,1548.0,1.5222627355696475e-08,359.0,182.0,1.4002486429211623e-17,1511.0,1067.0,0.00025922480655422137,109.0,84.0,0.07193026700216876,138.0,88.0,0.0007463486050657159,312.0,86.0,2.5166789986696288e-28,2511.0,1544.0,1.372729921461239e-22,292.0,230.0,0.006237537951633847,538.0,432.0,0.0004200238104473742
